date,station,particle,replicate,phase,file,spec_class,confidence,is_chemical,carbonyl_index,mixed,reasons,omnic_name,hqi,validated,raman_gt,raman_conf,gt_source,support_level,support_note,B_label,B_tier,B_r,tie_break,raman_qc,qc_flagged,delta_version,ftir_pending
03.27,S1,4,1,phase1,0327S1_4.CSV,PVDF,confident,True,,False,C-F 1402/1180/876,Plumber's Putty,80.94,False,,,,,,,,,,,,,
03.27,S1,5,1,phase1,0327S1_5.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Felly's Professional Mix Topsoil,77.29,False,,,,,,,,,,,,,
03.27,S1,6,1,phase1,0327S1_6.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,ALUMINA SILICATE #1,75.89,False,,,,,,,,,,,,,
03.27,S1,7,1,phase1,0327S1_7.CSV,carbonate_calcite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Parking Lot Tar,61.97,False,,,,,,,,,,,,,
03.27,S2,1,1,phase1,0327S2_1.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,Lead Monosilicate,59.81,False,,,,,,,,,,,,,
03.27,S2,2,1,phase1,0327S2_2.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Lead Monosilicate,80.0,False,,,,,,,,,,,,,
03.27,S2,3,1,phase1,0327S2_3.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,Lead Monosilicate,55.09,False,,,,,,,,,,,,,
03.27,S2,4,1,phase1,0327S2_4.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Deep Rose blush,76.34,False,,,,,,,,,,,,,
03.27,S2,5,1,phase1,0327S2_5.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Deep Rose blush,81.53,False,,,,,,,,,,,,,
03.27,S3,1,1,phase1,0327S3_1.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,Busan 11-M1,64.28,False,,,,,,,,,,,,,
03.27,S3,2,1,phase1,0327S3_2.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Deep Rose blush,75.83,False,,,,,,,,,,,,,
03.27,S3,3,1,phase1,0327S3_3.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",White Play Sand,90.16,False,,,,,,,,,,,,,
03.27,S3,4,1,phase1,0327S3_4.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,Deep Rose blush,60.89,False,,,,,,,,,,,,,
03.28,S1,1,1,phase1,0328S1_1.CSV,PVDF,confident,True,,True,C-F 1402/1180/876,POLY(VINYLIDENE FLUORIDE),86.49,False,,,,,,,,,,,,,
03.28,S1,2,1,phase1,0328S1_2.CSV,PVC,confident,True,,True,C-Cl 600-700 + 1250 + CH(1426/1330),"Poly(vinyl chloride), inherent viscosity 0.92",88.7,False,,,,,,,,,,,,,
03.28,S1,3,1,phase1,0328S1_3.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Deep Rose blush,84.34,False,,,,,,,,,,,,,
03.28,S1,4,1,phase1,0328S1_4.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,Wheat Gluten fluor,79.27,False,,,,,,,,,,,,,
03.28,S1,5,1,phase1,0328S1_5.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Red Pepper Seed,80.22,False,,,,,,,,,,,,,
03.28,S1,6,1,phase1,0328S1_6.CSV,PVC,confident,True,,True,C-Cl 600-700 + 1250 + CH(1426/1330),Spanish Saffron,68.58,False,,,,,,,,,,,,,
03.28,S1,7,1,phase1,0328S1_7.CSV,unresolved,unresolved,False,,False,no diagnostic band pattern,Styrene/acrylonitrile copolymer 32%,88.2,False,,,,,,,,,,,,,
03.28,S1,8,1,phase1,0328S1_8.CSV,polyolefin_PE,tentative,True,0.1630408244333131,True,CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman,Paraffin wax flakes mp 65 deg C min,92.1,False,,,,,,,,,,,,,
03.28,S1,9,1,phase1,0328S1_9.CSV,polyolefin_PE,tentative,True,0.08032176129803836,True,CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman,POLYEHTYLENE (Mn 1400),97.39,False,,,,,,,,,,,,,
03.28,S2,1,1,phase1,0328S2_1.CSV,unresolved,unresolved,False,,False,no diagnostic band pattern,Plumber's Putty,79.47,False,,,,,,,,,,,,,
03.28,S2,2,1,phase1,0328S2_2.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Comet Disinfectant Cleaner,95.34,False,,,,,,,,,,,,,
03.28,S2,3,1,phase1,0328S2_3.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Wheat Gluten fluor,79.27,False,,,,,,,,,,,,,
03.28,S2,4,1,phase1,0328S2_4.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",AJAX with Bleach Cleanser,89.16,False,,,,,,,,,,,,,
03.28,S2,5,1,phase1,0328S2_5.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Plumber's Putty,88.29,False,,,,,,,,,,,,,
03.28,S3,1,1,phase1,0328S3_1.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,SILICA SAND,83.55,False,,,,,,,,,,,,,
03.28,S3,2,1,phase1,0328S3_2.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,"Cement, cured",68.6,False,,,,,,,,,,,,,
04.21,S1,1,1,phase1,0421S1_1.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Comet Disinfectant Cleaner,92.72,False,,,,,,,,,,,,,
04.21,S1,2,1,phase1,0421S1_2.CSV,polyolefin_unresolved,tentative,True,1.0799996429046357,True,partial CH2 fingerprint + carbonyl (CI 1.08): PE/PP not separable; Raman-required,Japanese maple,73.8,False,,,,,,,,,,,,,
04.21,S1,3,1,phase1,0421S1_3.CSV,carbonate_aragonite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Comet Disinfectant Cleaner,92.85,False,,,,,,,,,,,,,
04.21,S1,4,1,phase1,0421S1_4.CSV,carbonate_aragonite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",AJAX with Bleach Cleanser,94.27,False,,,,,,,,,,,,,
04.21,S1,5,1,phase1,0421S1_5.CSV,carbonate_aragonite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman","Cement, cured",90.6,False,,,,,,,,,,,,,
04.21,S2,1,1,phase1,0421S2_1.CSV,polyester_PET,confident,True,,True,"1715 + 1240/1090, no CH backbone",Polyester tere- and isophthalic acids,68.37,False,,,,,,,,,,,,,
04.21,S2,2,1,phase1,0421S2_2.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)",Phenoxy resin nom mw 30000,87.67,False,,,,,,,,,,,,,
04.21,S2,3,1,phase1,0421S2_3.CSV,carbonate_aragonite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Comet Disinfectant Cleaner,91.2,False,,,,,,,,,,,,,
04.21,S2,4,1,phase1,0421S2_4.CSV,mineral_or_unresolved,unresolved,False,,True,weak Si-O only; ambiguous C-O region,Zein purified,86.67,False,,,,,,,,,,,,,
04.21,S2,5,1,phase1,0421S2_5.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman","Cement, cured",90.29,False,,,,,,,,,,,,,
04.21,S3,1,1,phase1,0421S3_1.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)",Diopside,70.82,False,,,,,,,,,,,,,
04.21,S3,2,1,phase1,0421S3_2.CSV,carbonate_aragonite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",PELLYITE,61.06,False,,,,,,,,,,,,,
04.21,S3,3,1,phase1,0421S3_3.CSV,carbonate_aragonite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Diopside,66.84,False,,,,,,,,,,,,,
05.10,S1,1,1,phase1,0510S1_1.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Poly(bisphenol a-co-epichlorohydrin) average MW ca 40000,92.75,False,,,,,,,,,,,,,
05.10,S1,10,1,phase1,0510S1_10.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Felly's Professional Mix Topsoil,77.8,False,,,,,,,,,,,,,
05.10,S1,11,1,phase1,0510S1_11.CSV,carbonate_calcite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",BAYLITH 1 (POWDER),77.72,False,,,,,,,,,,,,,
05.10,S1,12,1,phase1,0510S1_12.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Hornblende,62.22,False,,,,,,,,,,,,,
05.10,S1,13,1,phase1,0510S1_13.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Face powder,67.28,False,,,,,,,,,,,,,
05.10,S1,2,1,phase1,0510S1_2.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Deep Rose blush,69.87,False,,,,,,,,,,,,,
05.10,S1,3,1,phase1,0510S1_3.CSV,PVC,confident,True,,True,C-Cl 600-700 + 1250 + CH(1426/1330),POLYESTER(TS) #3,65.07,False,,,,,,,,,,,,,
05.10,S1,4,1,phase1,0510S1_4.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Felly's Professional Mix Topsoil,86.68,False,,,,,,,,,,,,,
05.10,S1,5,1,phase1,0510S1_5.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Felly's Professional Mix Topsoil,78.85,False,,,,,,,,,,,,,
05.10,S1,6,1,phase1,0510S1_6.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Mugo Pine,81.46,False,,,,,,,,,,,,,
05.10,S1,7,1,phase1,0510S1_7.CSV,PVC,confident,True,,True,C-Cl 600-700 + 1250 + CH(1426/1330),Vinyl Gloves,85.62,False,,,,,,,,,,,,,
05.10,S1,8,1,phase1,0510S1_8.CSV,nylon_PA,confident,True,,False,N-H 3300 + amide I/II,Nylon 6,88.89,False,,,,,,,,,,,,,
05.10,S1,9,1,phase1,0510S1_9.CSV,PVDF,confident,True,,True,C-F 1402/1180/876,Poly(bisphenol a-co-epichlorohydrin) average MW ca 40000,79.6,False,,,,,,,,,,,,,
05.10,S2,1,1,phase1,0510S2_1.CSV,carbonate_calcite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman","Cement, cured",60.32,False,,,,,,,,,,,,,
05.10,S2,2,1,phase1,0510S2_2.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,ALUMINA SILICATE #1,69.17,False,,,,,,,,,,,,,
05.10,S3,1,1,phase1,0510S3_1.CSV,unresolved,unresolved,False,,False,no diagnostic band pattern,Felly's Professional Mix Topsoil,79.32,False,,,,,,,,,,,,,
05.10,S3,2,1,phase1,0510S3_2.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)",Painter's Masking Tape (sticky side),90.77,False,,,,,,,,,,,,,
05.10,S3,3,1,phase1,0510S3_3.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)",Methyl formate,79.23,False,,,,,,,,,,,,,
05.10,S3,4,1,phase1,0510S3_4.CSV,PVDF,confident,True,,False,C-F 1402/1180/876,Plumber's Putty,90.58,False,,,,,,,,,,,,,
05.17,S1,1,1,phase1,0517S1_1.CSV,polyolefin_PE,tentative,True,0.08495172324046951,False,CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman,Duct tape (Back side),94.05,True,polyolefin_PE,confident,rule,A+,both methods confident and in agreement,polyolefin_PE,confident,0.981,False,ok,False,instrument-internal Si shift (per-file); no post-hoc correction,False
05.17,S1,2,1,phase1,0517S1_2.CSV,polyolefin_PE,tentative,True,0.30684682302107313,False,"CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman; oxidised (CI 0.31) - doublet complete, not withheld",Duct tape (Back side),97.85,False,,,,,,,,,,,,,
05.17,S1,3,1,phase1,0517S1_3.CSV,polyolefin_PP,confident,True,0.08989015227825162,True,CH3 backbone; 1375; 998/973/840,Polypropylene+Vistalon 404 1:1,77.53,False,,,,,,,,,,,,,
05.17,S1,4,1,phase1,0517S1_4.CSV,polyolefin_PE,tentative,True,0.3079267920194363,False,"CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman; oxidised (CI 0.31) - doublet complete, not withheld",Duct tape (Back side),98.34,False,,,,,,,,,,,,,
05.17,S1,5,1,phase1,0517S1_5.CSV,polyolefin_PE,tentative,True,0.12284400503559621,False,CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman,Duct tape (Back side),96.84,False,,,,,,,,,,,,,
05.17,S1,6,1,phase1,0517S1_6.CSV,polyester_PET,confident,True,,True,"1715 + 1240/1090, no CH backbone",Castor Bean,73.45,False,,,,,,,,,,,,,
05.17,S1,7,1,phase1,0517S1_7.CSV,polyolefin_unresolved,tentative,True,0.24933055332625143,False,"aliphatic CH, no clean PE/PP doublet; possible Si-O shoulder",ARC 1001 (cast),89.79,False,,,,,,,,,,,,,
05.17,S1,8,1,phase1,0517S1_8.CSV,polyolefin_unresolved,tentative,True,1.0892419680519074,True,partial CH2 fingerprint + carbonyl (CI 1.09): PE/PP not separable; Raman-required,Deep Rose blush,66.47,False,,,,,,,,,,,,,
05.17,S2,1,1,phase1,0517S2_1.CSV,polyolefin_PP,confident,True,0.043468143937169516,True,CH3 backbone; 1375; 998/973/840,NAT PALE CREPE RUB #1,84.97,False,,,,,,,,,,,,,
05.17,S2,2,1,phase1,0517S2_2.CSV,polyolefin_PP,confident,True,0.10204536008286123,False,CH3 backbone; 1375; 998/973/840,Polypropylene isotactic,93.77,False,,,,,,,,,,,,,
05.17,S2,3,1,phase1,0517S2_3.CSV,polyolefin_PP,tentative,True,1.66491807587772,True,CH3 backbone; 1375; 998/973/840; weathered->cap,Polyester 41% soybean oil modified phthalic alkyd,79.49,False,,,,,,,,,,,,,
05.17,S2,4,1,phase1,0517S2_4.CSV,polyolefin_PE,tentative,True,0.9925135979608528,False,"CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman; 1715=OXIDATION on PE (NOT PET); oxidised (CI 0.99) - doublet complete, not withheld",Myristic acid 99.5+%,91.69,False,,,,,,,,,,,,,
05.17,S2,5,1,phase1,0517S2_5.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman","Cement, cured",72.1,False,,,,,,,,,,,,,
05.17,S3,1,1,phase1,0517S3_1.CSV,polyolefin_PP,confident,True,0.14307010214010682,True,CH3 backbone; 1375; 998/973/840,Plumber's Putty,77.34,False,,,,,,,,,,,,,
05.17,S3,2,1,phase1,0517S3_2.CSV,polyester_PET,confident,True,,True,"1715 + 1240/1090, no CH backbone",Formaldehyde 37 wt.% solution in water,65.7,False,,,,,,,,,,,,,
05.17,S3,3,1,phase1,0517S3_3.CSV,carbonate_aragonite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Plumber's Putty,84.45,False,,,,,,,,,,,,,
05.17,S3,4,1,phase1,0517S3_4.CSV,PVC,confident,True,,False,C-Cl 600-700 + 1250 + CH(1426/1330),Visa card (blue plastic),85.59,False,,,,,,,,,,,,,
05.17,S3,5,1,phase1,0517S3_5.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",AJAX with Bleach Cleanser,91.83,False,,,,,,,,,,,,,
05.17,S3,6,1,phase1,0517S3_6.CSV,PVC,confident,True,,True,C-Cl 600-700 + 1250 + CH(1426/1330),Black enamel paint,67.92,False,,,,,,,,,,,,,
05.17,S3,7,1,phase1,0517S3_7.CSV,unresolved,unresolved,False,,False,no diagnostic band pattern,Bleach,80.95,False,,,,,,,,,,,,,
05.17,S3,8,1,phase1,0517S3_8.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Urethane Sealant,87.28,False,,,,,,,,,,,,,
06.01,S1,1,1,phase1,0601S1-1.CSV,polyolefin_PP,tentative,True,0.4346696948651498,True,CH3 backbone; 1375; 998/973/840; weathered->cap,Crayon (red),84.36,False,,,,,,,,,,,,,
06.01,S1,10,1,phase1,0601S1-10.CSV,PVC,confident,True,,True,C-Cl 600-700 + 1250 + CH(1426/1330),100% Polyester,85.2,False,,,,,,,,,,,,,
06.01,S1,11,1,phase1,0601S1-11.CSV,polyolefin_PE,tentative,True,0.16676560302740903,False,CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman,ARC 1001 (cast),92.3,False,,,,,,,,,,,,,
06.01,S1,12,1,phase1,0601S1-12.CSV,polyolefin_PE,tentative,True,0.02599291512194346,False,CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman,Duct tape (Back side),98.32,False,,,,,,,,,,,,,
06.01,S1,2,1,phase1,0601S1-2.CSV,polyolefin_PP,tentative,True,0.4230618166285986,True,CH3 backbone; 1375; 998/973/840; weathered->cap,Ethyl triacontanoate 98%,78.36,False,,,,,,,,,,,,,
06.01,S1,3,1,phase1,0601S1-3.CSV,carbonate_calcite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",HazMat Glove,90.38,False,,,,,,,,,,,,,
06.01,S1,4,1,phase1,0601S1-4.CSV,polyolefin_PP,tentative,True,0.3339222186047021,True,CH3 backbone; 1375; 998/973/840; weathered->cap,POLYETHYLENE (Mn 1400),90.09,False,,,,,,,,,,,,,
06.01,S1,5,1,phase1,0601S1-5.CSV,polyolefin_PE,tentative,True,0.3741463228609308,False,"CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman; 1715=OXIDATION on PE (NOT PET); oxidised (CI 0.37) - doublet complete, not withheld",Polyethylene high density,87.07,False,,,,,,,,,,,,,
06.01,S1,6,1,phase1,0601S1-6.CSV,polyolefin_unresolved,tentative,True,0.38893509450925473,False,partial CH2 fingerprint + carbonyl (CI 0.39): PE/PP not separable; Raman-required,Zinc stearate,78.72,False,,,,,,,,,,,,,
06.01,S1,7,1,phase1,0601S1-7.CSV,polyolefin_PE,tentative,True,0.39628319570157206,False,"CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman; 1715=OXIDATION on PE (NOT PET); oxidised (CI 0.40) - doublet complete, not withheld",POLYEHTYLENE (Mn 1800),90.63,False,,,,,,,,,,,,,
06.01,S1,8,1,phase1,0601S1-8.csv,unresolved,unresolved,False,,False,no diagnostic band pattern,Blue Spruce,80.48,False,,,,,,,,,,,,,
06.01,S1,9,1,phase1,0601S1-9.CSV,polyolefin_PE,tentative,True,0.027345122984818723,False,CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman,Duct tape (Back side),97.52,False,,,,,,,,,,,,,
06.01,S2,1,1,phase1,0601S2-1.CSV,polyolefin_unresolved,tentative,True,0.5957047918543324,True,"aliphatic CH, no clean PE/PP doublet; possible Si-O shoulder",Lemon Basil,94.26,False,,,,,,,,,,,,,
06.01,S2,2,1,phase1,0601S2-2.CSV,polyolefin_PP,tentative,True,0.3619572526480276,True,CH3 backbone; 1375; 998/973/840; weathered->cap,Methyl docosanoate 98+%,82.7,False,,,,,,,,,,,,,
06.01,S2,3,1,phase1,0601S2-3.CSV,polyolefin_PP,confident,True,0.04552109599094889,True,CH3 backbone; 1375; 998/973/840,Polypropylene isotactic,85.2,False,,,,,,,,,,,,,
06.01,S2,4,1,phase1,0601S2-4.CSV,polyolefin_unresolved,tentative,True,0.15976791768673154,False,"aliphatic CH, no clean PE/PP doublet; possible Si-O shoulder",ARC 1001 (cast),92.55,False,,,,,,,,,,,,,
06.01,S2,5,1,phase1,0601S2-5.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,Wheat Gluten fluor,84.53,False,,,,,,,,,,,,,
06.01,S2,6,1,phase1,0601S2-6.CSV,polyolefin_PP,confident,True,0.04695200147994638,True,CH3 backbone; 1375; 998/973/840,Polypropylene isotactic,86.48,False,,,,,,,,,,,,,
06.01,S2,7,1,phase1,0601S2-7.CSV,polyolefin_PE,tentative,True,0.039477107177627084,False,CH2 backbone; 1472; 730/717 doublet; FT-IR cannot resolve PE/PP -> Raman,Duct tape (Back side),96.48,False,,,,,,,,,,,,,
06.01,S3,1,1,phase1,0601S3-1.CSV,polyolefin_unresolved,tentative,True,0.2663004012824371,True,"aliphatic CH, no clean PE/PP doublet; possible Si-O shoulder",Human skin (live),74.85,False,,,,,,,,,,,,,
06.01,S3,2,1,phase1,0601S3-2.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Plumber's Putty,73.13,False,,,,,,,,,,,,,
