class,band_cm1,key,library_assignment,n_sources,sources,max_delta,lit_assignment,grade,pending
carbonate_aragonite,1085,Y,nu1 sym stretch,2,"DeLaPierre2014_main(1085.3, -0.3); Buzgar2009(1083, +2)",2.0,"Ag, nu1 CO3 symmetric stretch (strongest) [DeLaPierre2014 powder 300K 1085.3; Buzgar2009 1083]. Note that 1095.3 is a calculated value, not a measurement",A,
carbonate_aragonite,1462,,nu3,2,"DeLaPierre2014_main(1462.2, -0.2); Buzgar2009(1461, +1)",1.0,,A,
silicate_quartz,206,Y,"lattice - measured 203.8-205.2. Identical to carbonate_aragonite 206 (delta 0), so the two cannot be separated",1,"RRUFF2015(205.2, +0.8)",0.8000000000000114,,A,
silicate_quartz,264,,Si-O,1,"RRUFF2015(264, +0)",0.0,,A,
silicate_quartz,355,Y,Si-O,1,"RRUFF2015(354.9, +0.1)",0.10000000000002274,,A,
silicate_quartz,394,,Si-O,1,"RRUFF2015(393.7, +0.3)",0.30000000000001137,,A,
silicate_quartz,464,Y,Si-O-Si bend (very strong),1,"RRUFF2015(464.1, -0.1)",0.10000000000002274,,A,
silicate_quartz,696,,Si-O,1,"RRUFF2015(696.1, -0.1)",0.10000000000002274,,A,
silicate_quartz,808,,"Si-O - the 795/808 A1 doublet is represented here by 808 alone. Which component dominates is sample dependent (795 dominates in amethyst), giving a spread of 12.6 at 532 nm. Same problem as aragonite 705",1,"RRUFF2015(808.4, -0.4)",0.39999999999997726,,A,
silicate_quartz,1085,,"Si-O stretch - the tabulated value sits about 3 cm-1 above measurement (1081.2-1082.6). Identical to carbonate_aragonite 1085 on paper, but 3.5 apart in measurement. Inside TOL, so the verdict is unchanged - needs an SI footnote",1,"RRUFF2015(1082.6, +2.4)",2.400000000000091,,A,
silicate_quartz,1160,,Si-O,1,"RRUFF2015(1160, +0)",0.0,,A,
mineral_iron_oxide,226,Y,Fe-O (Eg),1,"RRUFF2015(225.9, +0.1)",0.09999999999999432,,A,
mineral_iron_oxide,245,,Fe-O (A1g),1,"RRUFF2015(245.1, -0.1)",0.09999999999999432,,A,
mineral_iron_oxide,292,Y,Fe-O (Eg),1,"RRUFF2015(291.9, +0.1)",0.10000000000002274,,A,
mineral_iron_oxide,412,Y,Fe-O (Eg),1,"RRUFF2015(412.1, -0.1)",0.10000000000002274,,A,
mineral_iron_oxide,497,,Fe-O (A1g),1,"RRUFF2015(496.2, +0.8)",0.8000000000000114,,A,
mineral_iron_oxide,612,Y,Fe-O (Eg),1,"RRUFF2015(611.4, +0.6)",0.6000000000000227,,A,
mineral_iron_oxide,1320,,2-magnon,0,,,,C,RRUFF R060190 / R040024 must be queried directly -> grade C
pigment_TiO2_anatase,144,,Eg (strongest; overlaps the artefact tail - accept only when 399/513/639 accompany it),1,"RRUFF2015(143, +1)",1.0,,A,
pigment_TiO2_anatase,197,,Eg,1,"RRUFF2015(196.6, +0.4)",0.4000000000000057,,A,
pigment_TiO2_anatase,399,Y,B1g,2,"RRUFF2015(395.7, +3.3); Nava2021(397, +2)",3.3000000000000114,,A,
pigment_TiO2_anatase,513,Y,A1g/B1g,2,"RRUFF2015(513.4, -0.4); Nava2021(516, -3)",3.0,,A,
pigment_TiO2_anatase,639,Y,Eg,2,"RRUFF2015(636.7, +2.3); Nava2021(638, +1)",2.2999999999999545,,A,
pigment_TiO2_rutile,143,,B1g (strongest; overlaps the artefact tail - accept only when 447/612 accompany it),1,"Nava2021(143, +0)",0.0,,A,
pigment_TiO2_rutile,235,,2-phonon,2,"RRUFF2015(234.8, +0.2); Nava2021(241, -6)",6.0,,A,
pigment_TiO2_rutile,447,Y,Eg,3,"Lenz2015(444, +3); RRUFF2015(446, +1); Nava2021(445, +2)",3.0,,A,
pigment_TiO2_rutile,612,Y,A1g,3,"Lenz2015(610, +2); RRUFF2015(614.3, -2.3); Nava2021(610, +2)",2.2999999999999545,,A,
pigment_TiO2_rutile,826,,B2g,1,"RRUFF2015(822, +4)",4.0,,A,
pigment_carbon_black,1350,Y,D band (broad) - excitation dependent (1343 at 455 nm),1,"Lenz2015(1343, +7)",7.0,,A,
pigment_carbon_black,1580,Y,G band (broad),1,"Lenz2015(1581, -1)",1.0,,A,
pigment_phthalocyanine,680,Y,macrocycle [Defeyt2012 T9 alpha: 680/681] - denominator of Scherrer's 750:680 ratio,3,"Nava2021(678, +2); Defeyt2012_T9(680, +0); Defeyt2012_T7(678, +2)",2.0,macrocycle; denominator of Scherrer's 750:680 intensity ratio [Defeyt2012 T9 alpha 680/681],A,
pigment_phthalocyanine,748,Y,macrocycle [Defeyt2012 T9 alpha: 747/748] - numerator of Scherrer's 750:680 ratio,3,"Nava2021(746, +2); Defeyt2012_T9(748, +0); Defeyt2012_T7(746, +2)",2.0,macrocycle; numerator of Scherrer's 750:680 intensity ratio [Defeyt2012 T9 alpha 747/748],A,
pigment_phthalocyanine,778,,macrocycle,2,"Defeyt2012_T9(778, +0); Defeyt2012_T7(775, +3)",3.0,,A,
pigment_phthalocyanine,832,,ring,2,"Defeyt2012_T9(832, +0); Defeyt2012_T7(829, +3)",3.0,,A,
pigment_phthalocyanine,953,,isoindole,3,"Nava2021(951, +2); Defeyt2012_T9(953, +0); Defeyt2012_T7(951, +2)",2.0,,A,
pigment_phthalocyanine,1008,,ring,2,"Defeyt2012_T9(1008, +0); Defeyt2012_T7(1005, +3)",3.0,,A,
pigment_phthalocyanine,1107,,ring,2,"Defeyt2012_T9(1107, +0); Defeyt2012_T7(1106, +1)",1.0,,A,
pigment_phthalocyanine,1142,,ring,3,"Nava2021(1141, +1); Defeyt2012_T9(1142, +0); Defeyt2012_T7(1141, +1)",1.0,,A,
pigment_phthalocyanine,1185,,"band f (polymorph marker) - demoted: cannot separate beta from epsilon, and the authors state position alone is insufficient",2,"Defeyt2012_T9(1185, +0); Defeyt2012_T7(1189, -4)",4.0,,A,
pigment_phthalocyanine,1215,,ring,2,"Defeyt2012_T9(1215, +0); Defeyt2012_T7(1215, +0)",0.0,,A,
pigment_phthalocyanine,1305,,isoindole,2,"Defeyt2012_T9(1305, +0); Defeyt2012_T7(1305, +0)",0.0,,A,
pigment_phthalocyanine,1341,Y,C-N / C-C [Defeyt2012 T9 alpha: 1335-1341],3,"Nava2021(1335, +6); Defeyt2012_T9(1341, +0); Defeyt2012_T7(1335, +6)",6.0,C-N / C-C [Defeyt2012 T9 alpha 1335-1341],A,
pigment_phthalocyanine,1452,,ring (1447-1452) - demoted: common CH bend region,3,"Nava2021(1446, +6); Defeyt2012_T9(1452, +0); Defeyt2012_T7(1446, +6)",6.0,,A,
pigment_phthalocyanine,1530,Y,"main macrocycle stretch - position unstable (spread of 9 across four alpha-paint samples, exceeding TOL). Non-detection is not evidence of absence",1,"Defeyt2012_T9(1530, +0)",0.0,"main macrocycle stretching [Defeyt2012 T9 alpha paints 1521-1530]. Not a polymorph effect but reversible, laser-power-dependent peak shifting: dry pigment 1520-1522 versus paint 1526-1530",A,
natural_isoprene,1000,,C-C,1,"Nallasamy2004(1001, -1)",1.0,,A,
natural_isoprene,1130,,C-C,1,"Nallasamy2004(1130, +0)",0.0,,A,
natural_isoprene,1310,,CH2 wag,1,"Nallasamy2004(1315, -5)",5.0,,A,
natural_isoprene,1360,,CH3 asym deformation [Nallasamy2004 Raman 1363; sym deformation is 1325],1,"Nallasamy2004(1363, -3)",3.0,,A,
natural_isoprene,1450,,CH2 / CH3 bend,1,"Nallasamy2004(1447, +3)",3.0,,A,
natural_isoprene,1664,Y,"C=C stretch [Nallasamy2004 Raman 1665 VS, 97 nuC=C] - cis/trans cannot be determined by Raman",1,"Nallasamy2004(1665, -1)",1.0,"C=C stretch, PED 97 nuC=C (almost pure), VS [Nallasamy2004 Raman 1665]. The '(cis-isoprene)' label has no source: Nallasamy's cis/trans markers are all infrared (833/893/1131 versus trans 965/1150) and C=C exists in trans too",A,
natural_isoprene,2910,,CH stretch,1,"Nallasamy2004(2909, +1)",1.0,,A,
natural_organic,440,,pyranose ring skeletal,2,"Nakajima2026(441, -1); Kizil2002(440, +0)",1.0,,A,
natural_organic,478,Y,"ring skeletal (C-C-O, starch marker)",2,"Nakajima2026(478, +0); Kizil2002(478, +0)",0.0,alpha(1->4) glycosidic chain vibration (DP >= 2); the key starch indicator below the fingerprint region. Absent in the isomalto(1->6) series [Nakajima2026 section 4],A,
natural_organic,575,,ring,2,"Nakajima2026(577, -2); Kizil2002(576, -1)",2.0,,A,
natural_organic,715,,ring,2,"Nakajima2026(719, -4); Kizil2002(710, +5)",5.0,,A,
natural_organic,763,,ring,2,"Nakajima2026(769, -6); Kizil2002(763, +0)",6.0,,A,
natural_organic,866,Y,C1-O-C5 bend (glycosidic),2,"Nakajima2026(866, +0); Kizil2002(860, +6)",6.0,"C1-O-C5 bending, glycosidic linkage [Nakajima2026 section 3.3]",A,
natural_organic,940,Y,C-O-C stretch (glycosidic),2,"Nakajima2026(940, +0); Kizil2002(936, +4)",4.0,"C-O-C stretching, glycosidic linkage [Nakajima2026 section 3.3]",A,
natural_organic,1083,,C-O,1,"Kizil2002(1087, -4)",4.0,,A,
natural_organic,1126,,C-O,1,"Kizil2002(1122, +4)",4.0,,A,
natural_organic,1460,,CH2 bend,1,"Kizil2002(1460, +0)",0.0,,A,
natural_organic,2900,,CH stretch,0,,,,C,"Partly resolved 2026-07-16: the Raman column of Kizil2002 Table 1 closes 1083->1087 (delta 4), 1126->1122 (delta 4) and 1460->1460 (delta 0). Only 2900 remains: Kizil's table treats it as a range (2800-3000) rather than a band value (the Fig. 2 label reads 2911, delta 11 > TOL), and Nakajima section 4 also calls it not a useful indicator. -> Decide between removal and [GAP]. Note that Kizil's 16 cm-1 resolution is twice TOL, so it is weak as a sole anchor"
